Title,Cite,Author,Year,Info,Link
Investor Attention and Corporate Disclosure Timing: Evidence from Korea,None,Y Yun  G Lee  SJ Yu , 경영학연구  2020 , dbpia.co.kr,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE10477034
Research on Mutual Fund Portfolio Disclosure  Investor Attention and Performance Persistence,None,Y Jin  L Xiang  D Chunxia , Studies of International Finance  2016 , en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-GJJR201604007.htm
Investor Attention and Corporate Disclosure Timing: Evidence from Korea,None,Y Yun  G Lee  SJ Yu , 경영학연구  2020 , dbpia.co.kr,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE10477034
Research on Mutual Fund Portfolio Disclosure  Investor Attention and Performance Persistence,None,Y Jin  L Xiang  D Chunxia , Studies of International Finance  2016 , en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-GJJR201604007.htm
Competing Information Disclosure  Investor Attention and the Efficiency of Information Dissemination [J],8,YULW Yanyan , Journal of Financial Research  2010 , en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-JRYJ201008010.htm
Competing Information Disclosure  Investor Attention and the Efficiency of Information Dissemination [J],8,YULW Yanyan , Journal of Financial Research  2010 , en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-JRYJ201008010.htm
Institutional investor attention and firm disclosure,20,I Abramova  JE Core… , The Accounting …  2020 , meridian.allenpress.com,https://meridian.allenpress.com/accounting-review/article-pdf/doi/10.2308/tar-2018-0494/2445958/10.2308_tar-2018-0494.pdf
Institutional investor attention and firm disclosure,20,I Abramova  JE Core… , The Accounting …  2020 , meridian.allenpress.com,https://meridian.allenpress.com/accounting-review/article-pdf/doi/10.2308/tar-2018-0494/2445958/10.2308_tar-2018-0494.pdf
None,2,--,--,--,None
None,2,--,--,--,None
Beyond information: Disclosure  distracted attention  and investor behavior,14,A Hillenbrand  A Schmelzer , Journal of Behavioral and Experimental …  2017 , Elsevier,https://www.sciencedirect.com/science/article/pii/S2214635017300539
Beyond information: Disclosure  distracted attention  and investor behavior,14,A Hillenbrand  A Schmelzer , Journal of Behavioral and Experimental …  2017 , Elsevier,https://www.sciencedirect.com/science/article/pii/S2214635017300539
